                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9498,                 1.5072,                 1.2918,                0.87103,                0.73558,                0.80186,                0.36674,                 1.8549,                 1.2779,                 1.2473,               0.003321,               0.003321,               0.003321
                      2,                 1.7558,                  1.039,                 1.2143,                0.84867,                0.70125,                0.76593,                0.39489,                 1.7361,                0.98886,                 1.2097,              0.0066324,              0.0066324,              0.0066324
                      3,                 1.7614,                 1.0392,                 1.2272,                0.81203,                0.75481,                0.77428,                0.37781,                 1.8831,                 1.2712,                 1.2751,              0.0099218,              0.0099218,              0.0099218
                      4,                 1.7613,                0.99416,                 1.2391,                0.71504,                0.48216,                0.54751,                0.19479,                 2.5076,                 1.4171,                 1.5183,               0.009901,               0.009901,               0.009901
                      5,                 1.7536,                0.95548,                 1.2386,                0.70514,                0.61521,                0.66361,                0.28378,                 2.1344,                 1.1463,                 1.3995,               0.009868,               0.009868,               0.009868
                      6,                 1.7194,                0.93916,                 1.2361,                0.86199,                 0.7435,                0.80688,                0.40973,                 1.7733,                0.91906,                 1.2318,               0.009835,               0.009835,               0.009835
                      7,                 1.7043,                0.92502,                 1.2257,                0.89746,                0.77633,                0.83613,                0.40933,                 1.7401,                0.86579,                 1.2162,               0.009802,               0.009802,               0.009802
                      8,                 1.7018,                0.91107,                 1.2153,                0.90588,                0.77348,                0.84057,                0.43362,                 1.7156,                0.83472,                 1.2008,               0.009769,               0.009769,               0.009769
                      9,                 1.6919,                0.88845,                  1.216,                0.89939,                0.77826,                 0.8451,                0.44873,                 1.6653,                0.80012,                 1.1839,               0.009736,               0.009736,               0.009736
                     10,                 1.6889,                0.88382,                 1.2062,                0.82736,                0.68395,                0.72842,                0.30705,                 1.9889,                0.96581,                 1.3144,               0.009703,               0.009703,               0.009703
                     11,                 1.6822,                0.88741,                 1.2097,                 0.8734,                0.78293,                0.82613,                 0.4068,                 1.8172,                0.81811,                 1.2558,                0.00967,                0.00967,                0.00967
                     12,                  1.673,                0.89153,                 1.2004,                 0.8768,                0.75825,                0.81605,                0.40374,                 1.8062,                 0.8239,                 1.2476,               0.009637,               0.009637,               0.009637
                     13,                 1.6669,                0.88018,                 1.1975,                0.88793,                0.73591,                0.80225,                0.38451,                 1.9071,                0.86097,                 1.2689,               0.009604,               0.009604,               0.009604
                     14,                 1.6532,                 0.8682,                 1.1953,                0.64278,                0.50884,                 0.5297,                0.18978,                 2.4827,                 1.3241,                 1.4952,               0.009571,               0.009571,               0.009571
                     15,                 1.6543,                0.85977,                 1.1901,                0.88868,                0.77559,                0.83423,                0.43441,                 1.6842,                0.79072,                 1.1871,               0.009538,               0.009538,               0.009538
                     16,                 1.6457,                0.85048,                 1.1887,                0.88323,                0.73591,                0.81513,                0.40679,                 1.7364,                0.87087,                 1.2106,               0.009505,               0.009505,               0.009505
                     17,                  1.638,                0.84717,                 1.1858,                0.88246,                0.74258,                0.80649,                0.39425,                 1.9198,                0.79007,                 1.2899,               0.009472,               0.009472,               0.009472
                     18,                 1.6301,                0.84377,                 1.1837,                0.89779,                0.75358,                0.82084,                0.38332,                 1.8139,                0.82183,                 1.2336,               0.009439,               0.009439,               0.009439
                     19,                 1.6333,                0.84533,                 1.1829,                0.89798,                0.76604,                0.82488,                0.39204,                 1.8288,                0.78596,                  1.245,               0.009406,               0.009406,               0.009406
