                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8434,                  1.194,                 1.3476,                0.88406,                0.75458,                0.82509,                 0.4169,                 1.7776,                0.94589,                 1.2662,             0.00066421,             0.00066421,             0.00066421
                      2,                 1.7691,                0.97032,                 1.3259,                0.83158,                0.67856,                0.77035,                0.37257,                 1.8853,                0.97467,                 1.3171,              0.0013045,              0.0013045,              0.0013045
                      3,                 1.7278,                0.94952,                 1.3085,                0.91586,                0.76218,                0.83904,                0.40654,                 1.8584,                  0.864,                 1.2894,              0.0019184,              0.0019184,              0.0019184
                      4,                 1.7042,                0.92862,                 1.2907,                0.89131,                0.73925,                0.81387,                0.43427,                 1.6617,                 1.0676,                 1.1912,              0.0018812,              0.0018812,              0.0018812
                      5,                 1.7052,                0.95543,                 1.2887,                0.89055,                0.75422,                0.82883,                0.44481,                 1.6461,                0.93226,                 1.1893,              0.0018416,              0.0018416,              0.0018416
                      6,                  1.685,                0.88207,                 1.2814,                0.91044,                 0.7866,                0.85345,                0.40369,                 1.8928,                0.83596,                 1.2912,               0.001802,               0.001802,               0.001802
                      7,                 1.6509,                0.85783,                 1.2635,                0.90205,                0.68623,                0.81047,                0.42884,                 1.7672,                0.92974,                 1.2257,              0.0017624,              0.0017624,              0.0017624
                      8,                 1.6692,                0.86685,                 1.2665,                0.86359,                0.66689,                0.76892,                0.37096,                 1.9218,                0.96538,                 1.2835,              0.0017228,              0.0017228,              0.0017228
                      9,                 1.6425,                0.85439,                 1.2591,                0.80808,                0.58286,                0.62437,                0.31992,                 1.7755,                 4.5699,                 1.2311,              0.0016832,              0.0016832,              0.0016832
                     10,                 1.6431,                0.83539,                 1.2501,                0.87846,                 0.6929,                0.80667,                0.41373,                 1.7621,                0.97846,                  1.245,              0.0016436,              0.0016436,              0.0016436
                     11,                 1.6248,                0.84077,                 1.2521,                0.91712,                0.79333,                0.85725,                0.43594,                 1.7683,                0.81794,                 1.2382,               0.001604,               0.001604,               0.001604
                     12,                 1.6241,                0.83236,                 1.2439,                0.88428,                0.74725,                0.83322,                0.45065,                 1.6815,                0.87099,                 1.2094,              0.0015644,              0.0015644,              0.0015644
                     13,                 1.6119,                0.81711,                 1.2356,                0.46717,                0.20507,                0.19764,                0.09799,                 2.6304,                  3.289,                 1.5426,              0.0015248,              0.0015248,              0.0015248
                     14,                 1.5908,                0.80439,                 1.2265,                0.79816,                0.65665,                0.70727,                0.33276,                 1.9082,                 1.4678,                 1.2719,              0.0014852,              0.0014852,              0.0014852
                     15,                 1.5727,                0.79993,                 1.2156,                 0.8982,                0.75925,                0.84147,                0.46513,                 1.5719,                 0.7916,                 1.1524,              0.0014456,              0.0014456,              0.0014456
                     16,                 1.5676,                0.79397,                 1.2144,                0.88394,                 0.7441,                0.83554,                 0.4436,                 1.6535,                0.84989,                 1.1795,               0.001406,               0.001406,               0.001406
                     17,                 1.5629,                0.77718,                 1.2112,                0.80397,                0.66222,                0.73045,                0.35643,                 1.8914,                 1.0237,                 1.2663,              0.0013664,              0.0013664,              0.0013664
                     18,                 1.5807,                0.78513,                 1.2219,                0.68382,                0.52017,                0.54026,                0.22283,                 2.2267,                 3.1263,                    1.4,              0.0013268,              0.0013268,              0.0013268
                     19,                 1.5724,                0.77596,                 1.2163,                0.89471,                0.77693,                0.85003,                0.44807,                  1.678,                0.81316,                 1.1928,              0.0012872,              0.0012872,              0.0012872
                     20,                 1.5517,                0.76341,                  1.203,                0.87108,                 0.7435,                0.83292,                0.44735,                 1.6772,                0.83405,                 1.1879,              0.0012476,              0.0012476,              0.0012476
                     21,                 1.5463,                 0.7644,                 1.2037,                0.77895,                0.62821,                0.70154,                0.29951,                 2.0606,                 1.0094,                  1.334,               0.001208,               0.001208,               0.001208
                     22,                 1.5427,                0.75168,                 1.2042,                0.91688,                0.77613,                0.85509,                0.44659,                 1.7219,                0.75972,                 1.2004,              0.0011684,              0.0011684,              0.0011684
                     23,                 1.5355,                0.76297,                 1.1984,                0.77296,                0.65161,                0.63151,                0.24824,                 2.1394,                 1.2519,                 1.3601,              0.0011288,              0.0011288,              0.0011288
                     24,                 1.5412,                0.75104,                 1.1973,                0.88766,                0.77526,                0.84345,                0.40799,                 1.8686,                0.83697,                 1.2719,              0.0010892,              0.0010892,              0.0010892
                     25,                 1.5335,                0.75066,                 1.1972,                0.78641,                0.46315,                0.49345,                0.20099,                 2.0861,                 5.8684,                  1.377,              0.0010496,              0.0010496,              0.0010496
                     26,                 1.5284,                 0.7354,                 1.1923,                0.89576,                0.78493,                0.85551,                0.47557,                 1.5751,                0.75843,                 1.1486,                0.00101,                0.00101,                0.00101
                     27,                 1.5144,                0.73783,                  1.184,                0.73779,                0.63354,                0.66173,                0.27774,                 2.0292,                 1.2527,                 1.3087,              0.0009704,              0.0009704,              0.0009704
                     28,                 1.5225,                0.72776,                 1.1938,                0.81812,                0.64643,                0.66895,                0.28104,                 2.0196,                 2.1359,                   1.32,              0.0009308,              0.0009308,              0.0009308
                     29,                 1.5141,                0.72839,                 1.1857,                0.84161,                0.73291,                0.76922,                0.32803,                 1.8981,                0.89262,                 1.2801,              0.0008912,              0.0008912,              0.0008912
                     30,                 1.5008,                0.73368,                 1.1796,                0.86662,                0.75025,                0.80455,                0.37495,                 1.8825,                0.86324,                 1.2604,              0.0008516,              0.0008516,              0.0008516
                     31,                 1.4976,                 0.7246,                  1.175,                0.85165,                0.70957,                0.76956,                0.35842,                 1.9052,                0.89235,                 1.2758,               0.000812,               0.000812,               0.000812
